Frequency	S11(dB)	S21(dB)
1.095000000000000107e+01	-3.957623865288456566e-05	-6.882322784394909831e+01
1.097905000000000086e+01	-1.300765449754803175e-04	-6.855218004148447619e+01
1.100810000000000066e+01	-2.084181138419094600e-04	-6.827678797178707271e+01
1.103715000000000046e+01	-2.755035898559995153e-04	-6.799684206493138561e+01
1.106620000000000026e+01	-3.321841214656883270e-04	-6.771211768868461434e+01
1.109525000000000183e+01	-3.792620188544252929e-04	-6.742237368649364271e+01
1.112430000000000163e+01	-4.174932605751084289e-04	-6.712735073044109413e+01
1.115335000000000143e+01	-4.475898919817998642e-04	-6.682676946058451506e+01
1.118240000000000123e+01	-4.702222921897623604e-04	-6.652032837674080668e+01
1.121145000000000103e+01	-4.860213347289738146e-04	-6.620770144236021792e+01
1.124050000000000082e+01	-4.955804371144302859e-04	-6.588853535218824220e+01
1.126955000000000062e+01	-4.994575150539166432e-04	-6.556244640570960769e+01
1.129860000000000042e+01	-4.981768430724200581e-04	-6.522901691629942889e+01
1.132765000000000022e+01	-4.922308066723061776e-04	-6.488779107106344668e+01
1.135670000000000179e+01	-4.820815986938638341e-04	-6.453827013756740882e+01
1.138575000000000159e+01	-4.681628131627126152e-04	-6.417990689003414673e+01
1.141480000000000139e+01	-4.508810012545080349e-04	-6.381209909760654853e+01
1.144385000000000119e+01	-4.306171056028112727e-04	-6.343418187893007598e+01
1.147290000000000099e+01	-4.077278947982885594e-04	-6.304541867794590360e+01
1.150195000000000078e+01	-3.825473179052345891e-04	-6.264499055160886343e+01
1.153100000000000058e+01	-3.553878038323537384e-04	-6.223198337622476117e+01
1.156005000000000038e+01	-3.265415604329752718e-04	-6.180537246781067040e+01
1.158910000000000018e+01	-2.962818415471822728e-04	-6.136400396318441608e+01
1.161815000000000175e+01	-2.648642176418828319e-04	-6.090657210755495043e+01
1.164720000000000155e+01	-2.325278675518215651e-04	-6.043159131944780427e+01
1.167625000000000135e+01	-1.994969624664684102e-04	-5.993736152299852193e+01
1.170530000000000115e+01	-1.659821480426441811e-04	-5.942192470263772464e+01
1.173435000000000095e+01	-1.321822380128299880e-04	-5.888300987196079461e+01
1.176340000000000074e+01	-9.828625225841002976e-05	-5.831796254156228088e+01
1.179245000000000054e+01	-6.447597486392928220e-05	-5.772365313505802931e+01
1.182150000000000034e+01	-3.092938383271624987e-05	-5.709635633657328668e+01
1.185055000000000014e+01	-9.643274665532871356e-16	-5.643158955006484234e+01
1.187960000000000171e+01	0.000000000000000000e+00	-5.572389263590068254e+01
1.190865000000000151e+01	0.000000000000000000e+00	-5.496652130153596261e+01
1.193770000000000131e+01	-9.643274665532871356e-16	-5.415101006898488123e+01
1.196675000000000111e+01	0.000000000000000000e+00	-5.326653203611878951e+01
1.199580000000000091e+01	-9.643274665532871356e-16	-5.229893036358057401e+01
1.202485000000000070e+01	0.000000000000000000e+00	-5.122919623564541780e+01
1.205390000000000050e+01	0.000000000000000000e+00	-5.003096410879980027e+01
1.208295000000000030e+01	0.000000000000000000e+00	-4.866614818124126174e+01
1.211200000000000188e+01	0.000000000000000000e+00	-4.707677036864063069e+01
1.214105000000000167e+01	0.000000000000000000e+00	-4.516812509613443893e+01
1.217010000000000147e+01	0.000000000000000000e+00	-4.276919416648200922e+01
1.219915000000000127e+01	-7.438534838851789093e-05	-3.951912639330910082e+01
1.222820000000000107e+01	-1.114792959925119944e-03	-3.440768627615349118e+01
1.225725000000000087e+01	-3.378599877863445317e-02	-2.110734007312500182e+01
1.228630000000000067e+01	-5.186667782229053940e-03	-2.924292151600950973e+01
1.231535000000000046e+01	-6.374734905889005042e-04	-3.669780669085518099e+01
1.234440000000000026e+01	-1.434961367626943934e-05	-4.060285848593907332e+01
1.237345000000000184e+01	0.000000000000000000e+00	-4.328199334883319693e+01
1.240250000000000163e+01	1.928654933106573877e-15	-4.532910642991442529e+01
1.243155000000000143e+01	-9.643274665532871356e-16	-4.697100458934592382e+01
1.246060000000000123e+01	0.000000000000000000e+00	-4.832726921401524578e+01
1.248965000000000103e+01	0.000000000000000000e+00	-4.947572136155226019e+01
1.251870000000000083e+01	0.000000000000000000e+00	-5.046874304497457331e+01
1.254775000000000063e+01	-9.643274665532871356e-16	-5.134184560736683522e+01
1.257680000000000042e+01	0.000000000000000000e+00	-5.211969727031512178e+01
1.260585000000000022e+01	0.000000000000000000e+00	-5.282000210357129788e+01
1.263490000000000180e+01	0.000000000000000000e+00	-5.345587904664402856e+01
1.266395000000000159e+01	-9.643274665532871356e-16	-5.403732665001118818e+01
1.269300000000000139e+01	0.000000000000000000e+00	-5.457214920117191070e+01
1.272205000000000119e+01	0.000000000000000000e+00	-5.506656193200358018e+01
1.275110000000000099e+01	0.000000000000000000e+00	-5.552559956100367344e+01
1.278015000000000079e+01	0.000000000000000000e+00	-5.595340034204828328e+01
1.280920000000000059e+01	0.000000000000000000e+00	-5.635340876989162240e+01
1.283825000000000038e+01	0.000000000000000000e+00	-5.672852357116160249e+01
1.286730000000000018e+01	0.000000000000000000e+00	-5.708120792362577589e+01
1.289635000000000176e+01	1.928654933106573877e-15	-5.741357299321167318e+01
1.292540000000000155e+01	0.000000000000000000e+00	-5.772744223438692757e+01
1.295445000000000135e+01	-9.643274665532871356e-16	-5.802440156874684618e+01
1.298350000000000115e+01	0.000000000000000000e+00	-5.830583902813888386e+01
1.301255000000000095e+01	0.000000000000000000e+00	-5.857297642318749098e+01
1.304160000000000075e+01	0.000000000000000000e+00	-5.882689489689812490e+01
1.307065000000000055e+01	0.000000000000000000e+00	-5.906855573312402896e+01
1.309970000000000034e+01	0.000000000000000000e+00	-5.929881744342008432e+01
1.312875000000000014e+01	0.000000000000000000e+00	-5.951844990610321418e+01
1.315780000000000172e+01	0.000000000000000000e+00	-5.972814614912582698e+01
1.318684999999999974e+01	0.000000000000000000e+00	-5.992853223404890173e+01
1.321590000000000131e+01	0.000000000000000000e+00	-6.012017559773467923e+01
1.324495000000000111e+01	-1.928654933106574271e-15	-6.030359213247904648e+01
1.327400000000000091e+01	0.000000000000000000e+00	-6.047925222712844828e+01
1.330305000000000071e+01	-9.643274665532871356e-16	-6.064758594736670716e+01
1.333210000000000051e+01	-1.928654933106574271e-15	-6.080898749853466967e+01
1.336115000000000030e+01	-9.643274665532871356e-16	-6.096381908701361851e+01
1.339020000000000010e+01	0.000000000000000000e+00	-6.111241427526832126e+01
1.341925000000000168e+01	0.000000000000000000e+00	-6.125508090800180838e+01
1.344829999999999970e+01	0.000000000000000000e+00	-6.139210367387930489e+01
1.347735000000000127e+01	0.000000000000000000e+00	-6.152374635583481677e+01
1.350640000000000107e+01	0.000000000000000000e+00	-6.165025381448413100e+01
1.353545000000000087e+01	0.000000000000000000e+00	-6.177185374165735254e+01
1.356450000000000067e+01	0.000000000000000000e+00	-6.188875821539829758e+01
1.359355000000000047e+01	-9.643274665532871356e-16	-6.200116508282078343e+01
1.362260000000000026e+01	0.000000000000000000e+00	-6.210925919311747379e+01
1.365165000000000006e+01	0.000000000000000000e+00	-6.221321349992408756e+01
