Frequency	S11(dB)	S21(dB)
1.095000000000000107e+01	-6.793337062761563565e-05	-1.057832326226774171e+02
1.097905000000000086e+01	0.000000000000000000e+00	-1.056909269468495580e+02
1.100810000000000066e+01	0.000000000000000000e+00	-1.055981262213313698e+02
1.103715000000000046e+01	-9.643274665532871356e-16	-1.055048153001049798e+02
1.106620000000000026e+01	0.000000000000000000e+00	-1.054109786290136697e+02
1.109525000000000183e+01	0.000000000000000000e+00	-1.053166002302331776e+02
1.112430000000000163e+01	-9.643274665532871356e-16	-1.052216636853898848e+02
1.115335000000000143e+01	-9.643274665532871356e-16	-1.051261521194298751e+02
1.118240000000000123e+01	0.000000000000000000e+00	-1.050300481809532869e+02
1.121145000000000103e+01	-9.643274665532871356e-16	-1.049333340250512094e+02
1.124050000000000082e+01	0.000000000000000000e+00	-1.048359912937508085e+02
1.126955000000000062e+01	0.000000000000000000e+00	-1.047380010935142991e+02
1.129860000000000042e+01	0.000000000000000000e+00	-1.046393439772120360e+02
1.132765000000000022e+01	0.000000000000000000e+00	-1.045399999187467301e+02
1.135670000000000179e+01	0.000000000000000000e+00	-1.044399482910234411e+02
1.138575000000000159e+01	-9.643274665532871356e-16	-1.043391678424500242e+02
1.141480000000000139e+01	-9.643274665532871356e-16	-1.042376366696932450e+02
1.144385000000000119e+01	0.000000000000000000e+00	-1.041353321923029114e+02
1.147290000000000099e+01	-9.643274665532871356e-16	-1.040322311241165210e+02
1.150195000000000078e+01	0.000000000000000000e+00	-1.039283094428962926e+02
1.153100000000000058e+01	0.000000000000000000e+00	-1.038235423632895618e+02
1.156005000000000038e+01	0.000000000000000000e+00	-1.037179042999722611e+02
1.158910000000000018e+01	-9.643274665532871356e-16	-1.036113688383467490e+02
1.161815000000000175e+01	0.000000000000000000e+00	-1.035039086953426875e+02
1.164720000000000155e+01	-9.643274665532871356e-16	-1.033954956875672195e+02
1.167625000000000135e+01	-9.643274665532871356e-16	-1.032861006855986830e+02
1.170530000000000115e+01	0.000000000000000000e+00	-1.031756935798830170e+02
1.173435000000000095e+01	0.000000000000000000e+00	-1.030642432340798678e+02
1.176340000000000074e+01	0.000000000000000000e+00	-1.029517174440161256e+02
1.179245000000000054e+01	0.000000000000000000e+00	-1.028380828855070206e+02
1.182150000000000034e+01	1.928654933106573877e-15	-1.027233050707456954e+02
1.185055000000000014e+01	-9.643274665532871356e-16	-1.026073482944944573e+02
1.187960000000000171e+01	0.000000000000000000e+00	-1.024901755781772152e+02
1.190865000000000151e+01	0.000000000000000000e+00	-1.023717486163622539e+02
1.193770000000000131e+01	-9.643274665532871356e-16	-1.022520277131362150e+02
1.196675000000000111e+01	-9.643274665532871356e-16	-1.021309717255703475e+02
1.199580000000000091e+01	0.000000000000000000e+00	-1.020085379914564498e+02
1.202485000000000070e+01	0.000000000000000000e+00	-1.018846822676688078e+02
1.205390000000000050e+01	-9.643274665532871356e-16	-1.017593586494364502e+02
1.208295000000000030e+01	-9.643274665532871356e-16	-1.016325195054476325e+02
1.211200000000000188e+01	-9.643274665532871356e-16	-1.015041153877905629e+02
1.214105000000000167e+01	1.928654933106573877e-15	-1.013740949577443757e+02
1.217010000000000147e+01	0.000000000000000000e+00	-1.012424048981967815e+02
1.219915000000000127e+01	0.000000000000000000e+00	-1.011089898148431416e+02
1.222820000000000107e+01	0.000000000000000000e+00	-1.009737921531342693e+02
1.225725000000000087e+01	0.000000000000000000e+00	-1.008367520922410279e+02
1.228630000000000067e+01	-9.643274665532871356e-16	-1.006978074467828037e+02
1.231535000000000046e+01	0.000000000000000000e+00	-1.005568935589939201e+02
1.234440000000000026e+01	0.000000000000000000e+00	-1.004139431857394982e+02
1.237345000000000184e+01	-1.928654933106574271e-15	-1.002688863875844305e+02
1.240250000000000163e+01	-9.643274665532871356e-16	-1.001216504100773648e+02
1.243155000000000143e+01	0.000000000000000000e+00	-9.997215956406394355e+01
1.246060000000000123e+01	0.000000000000000000e+00	-9.982033509950007044e+01
1.248965000000000103e+01	-1.928654933106574271e-15	-9.966609508208301804e+01
1.251870000000000083e+01	-9.643274665532871356e-16	-9.950935426619437862e+01
1.254775000000000063e+01	-9.643274665532871356e-16	-9.935002396907805178e+01
1.257680000000000042e+01	0.000000000000000000e+00	-9.918801194287826206e+01
1.260585000000000022e+01	-9.643274665532871356e-16	-9.902322225874571870e+01
1.263490000000000180e+01	-9.643274665532871356e-16	-9.885555518537401554e+01
1.266395000000000159e+01	0.000000000000000000e+00	-9.868490708237494857e+01
1.269300000000000139e+01	0.000000000000000000e+00	-9.851117031329779650e+01
1.272205000000000119e+01	0.000000000000000000e+00	-9.833423315751160487e+01
1.275110000000000099e+01	0.000000000000000000e+00	-9.815397976613107289e+01
1.278015000000000079e+01	0.000000000000000000e+00	-9.797029013094616801e+01
1.280920000000000059e+01	0.000000000000000000e+00	-9.778304010354482045e+01
1.283825000000000038e+01	0.000000000000000000e+00	-9.759210146194351410e+01
1.286730000000000018e+01	0.000000000000000000e+00	-9.739734203522274925e+01
1.289635000000000176e+01	-9.643274665532871356e-16	-9.719862592374008159e+01
1.292540000000000155e+01	0.000000000000000000e+00	-9.699581380542910836e+01
1.295445000000000135e+01	-9.643274665532871356e-16	-9.678876337782064354e+01
1.298350000000000115e+01	0.000000000000000000e+00	-9.657732996449865936e+01
1.301255000000000095e+01	1.928654933106573877e-15	-9.636136730919126592e+01
1.304160000000000075e+01	0.000000000000000000e+00	-9.614072863498094534e+01
1.307065000000000055e+01	0.000000000000000000e+00	-9.591526799390608460e+01
1.309970000000000034e+01	0.000000000000000000e+00	-9.568484201279119361e+01
1.312875000000000014e+01	1.928654933106573877e-15	-9.544931210553487233e+01
1.315780000000000172e+01	1.928654933106573877e-15	-9.520854727751390101e+01
1.318684999999999974e+01	-9.643274665532871356e-16	-9.496242764324152574e+01
