Frequency	S11(dB)	S21(dB)
1.095000000000000107e+01	-1.005603065889662163e-05	-1.200488910161505487e+02
1.096405000000000030e+01	-7.738720183201792222e-06	-1.200526537876268520e+02
1.097810000000000130e+01	-5.569975969615476586e-06	-1.200564416867728568e+02
1.099215000000000053e+01	-3.544843970447724224e-06	-1.200602503589481387e+02
1.100620000000000154e+01	-1.658481723592311256e-06	-1.200640750667518262e+02
1.102025000000000077e+01	-9.643274665532871356e-16	-1.200679106615664864e+02
1.103430000000000177e+01	-9.643274665532871356e-16	-1.200717515529924526e+02
1.104835000000000100e+01	0.000000000000000000e+00	-1.200755916760147386e+02
1.106240000000000023e+01	0.000000000000000000e+00	-1.200794244557326635e+02
1.107645000000000124e+01	-9.643274665532871356e-16	-1.200832427694708002e+02
1.109050000000000047e+01	-9.643274665532871356e-16	-1.200870389060762164e+02
1.110455000000000148e+01	0.000000000000000000e+00	-1.200908045221939062e+02
1.111860000000000070e+01	0.000000000000000000e+00	-1.200945305952965612e+02
1.113265000000000171e+01	-1.928654933106574271e-15	-1.200982073732316451e+02
1.114670000000000094e+01	0.000000000000000000e+00	-1.201018243200300901e+02
1.116075000000000017e+01	-9.643274665532871356e-16	-1.201053700577065229e+02
1.117480000000000118e+01	0.000000000000000000e+00	-1.201088323037620142e+02
1.118885000000000041e+01	0.000000000000000000e+00	-1.201121978040832374e+02
1.120290000000000141e+01	0.000000000000000000e+00	-1.201154522609124484e+02
1.121695000000000064e+01	-9.643274665532871356e-16	-1.201185802555453961e+02
1.123100000000000165e+01	0.000000000000000000e+00	-1.201215651653931502e+02
1.124505000000000088e+01	0.000000000000000000e+00	-1.201243890750269685e+02
1.125910000000000188e+01	0.000000000000000000e+00	-1.201270326808052857e+02
1.127315000000000111e+01	0.000000000000000000e+00	-1.201294751886643439e+02
1.128720000000000034e+01	0.000000000000000000e+00	-1.201316942046371707e+02
1.130125000000000135e+01	0.000000000000000000e+00	-1.201336656176510473e+02
1.131530000000000058e+01	-9.643274665532871356e-16	-1.201353634741391687e+02
1.132935000000000159e+01	-9.643274665532871356e-16	-1.201367598439947244e+02
1.134340000000000082e+01	-9.643274665532871356e-16	-1.201378246773877123e+02
1.135745000000000182e+01	0.000000000000000000e+00	-1.201385256519661766e+02
1.137150000000000105e+01	-9.643274665532871356e-16	-1.201388280099680230e+02
1.138555000000000028e+01	-9.643274665532871356e-16	-1.201386943847845430e+02
1.139960000000000129e+01	0.000000000000000000e+00	-1.201380846165406240e+02
1.141365000000000052e+01	-9.643274665532871356e-16	-1.201369555562917526e+02
1.142770000000000152e+01	0.000000000000000000e+00	-1.201352608584890334e+02
1.144175000000000075e+01	-9.643274665532871356e-16	-1.201329507614307204e+02
1.145580000000000176e+01	-9.643274665532871356e-16	-1.201299718555066818e+02
1.146985000000000099e+01	0.000000000000000000e+00	-1.201262668391552211e+02
1.148390000000000022e+01	0.000000000000000000e+00	-1.201217742625905771e+02
1.149795000000000122e+01	-9.643274665532871356e-16	-1.201164282595354535e+02
1.151200000000000045e+01	0.000000000000000000e+00	-1.201101582674016583e+02
1.152605000000000146e+01	0.000000000000000000e+00	-1.201028887366194340e+02
1.154010000000000069e+01	-1.928654933106574271e-15	-1.200945388301194612e+02
1.155415000000000170e+01	0.000000000000000000e+00	-1.200850221143336114e+02
1.156820000000000093e+01	-9.643274665532871356e-16	-1.200742462435035804e+02
1.158225000000000016e+01	-1.928654933106574271e-15	-1.200621126395824803e+02
1.159630000000000116e+01	1.928654933106573877e-15	-1.200485161705826158e+02
1.161035000000000039e+01	-9.643274665532871356e-16	-1.200333448308800826e+02
1.162440000000000140e+01	1.928654933106573877e-15	-1.200164794277277593e+02
1.163845000000000063e+01	-3.084435526225585706e-07	-1.199977932790679347e+02
1.165250000000000163e+01	-1.144184506497826786e-06	-1.199771519286694144e+02
1.166655000000000086e+01	-1.986987435870716882e-06	-1.199544128856465193e+02
1.168060000000000187e+01	-2.835557179226195277e-06	-1.199294253965451418e+02
1.169465000000000110e+01	-3.688643005963392586e-06	-1.199020302593955876e+02
1.170870000000000033e+01	-4.545037680047413511e-06	-1.198720596904236260e+02
1.172275000000000134e+01	-5.403576562235792505e-06	-1.198393372554602365e+02
1.173680000000000057e+01	-6.263136724842567423e-06	-1.198036778794702855e+02
1.175085000000000157e+01	-7.122636055895856167e-06	-1.197648879489987763e+02
1.176490000000000080e+01	-7.981032414405800316e-06	-1.197227655236632131e+02
1.177895000000000181e+01	-8.837322761525087531e-06	-1.196771006740514309e+02
1.179300000000000104e+01	-9.690542338962171686e-06	-1.196276759644483434e+02
1.180705000000000027e+01	-1.053976383196575823e-05	-1.195742670996411618e+02
1.182110000000000127e+01	-1.138409656798975453e-05	-1.195166437555565864e+02
1.183515000000000050e+01	-1.222268570860817995e-05	-1.194545706135773173e+02
1.184920000000000151e+01	-1.305471147518167072e-05	-1.193878086179778961e+02
1.186325000000000074e+01	-1.387938835909473752e-05	-1.193161164749229783e+02
1.187730000000000175e+01	-1.469596437635206918e-05	-1.192392524098043793e+02
1.189135000000000097e+01	-1.550372031349568600e-05	-1.191569761972928774e+02
1.190540000000000020e+01	-1.630196898123648818e-05	-1.190690514753060114e+02
1.191945000000000121e+01	-1.709005450280129358e-05	-1.189752483501368374e+02
1.193350000000000044e+01	-1.786735159360056783e-05	-1.188753462952793996e+02
1.194755000000000145e+01	-1.863326485439626039e-05	-1.187691373411020095e+02
1.196160000000000068e+01	-1.938722809147039636e-05	-1.186564295465766179e+02
1.197565000000000168e+01	-2.012870362425682176e-05	-1.185370507379383014e+02
1.198970000000000091e+01	-2.085718163250986835e-05	-1.184108524926162289e+02
1.200375000000000014e+01	-2.157217947647117350e-05	-1.182777143402617810e+02
1.201780000000000115e+01	-2.227324107200260247e-05	-1.181375481464059760e+02
1.203185000000000038e+01	-2.295993623968164217e-05	-1.179903026383753826e+02
1.204590000000000138e+01	-2.363186008282591440e-05	-1.178359680276783763e+02
1.205995000000000061e+01	-2.428863237516034257e-05	-1.176745806781245847e+02
1.207400000000000162e+01	-2.492989694655483506e-05	-1.175062277642996236e+02
1.208805000000000085e+01	-2.555532109576252945e-05	-1.173310518603423702e+02
1.210210000000000008e+01	-2.616459500508592785e-05	-1.171492553937577128e+02
1.211615000000000109e+01	-2.675743115214925246e-05	-1.169611048925207655e+02
1.213020000000000032e+01	-2.733356376120760233e-05	-1.167669349451947056e+02
1.214425000000000132e+01	-2.789274822938277263e-05	-1.165671517822757863e+02
1.215830000000000055e+01	-2.843476059340014741e-05	-1.163622363716797423e+02
1.217235000000000156e+01	-2.895939697607396643e-05	-1.161527469016205032e+02
1.218640000000000079e+01	-2.946647307715097888e-05	-1.159393204999066285e+02
1.220045000000000002e+01	-2.995582363040184338e-05	-1.157226740104914455e+02
1.221450000000000102e+01	-3.042730191182131691e-05	-1.155036036174305849e+02
1.222855000000000025e+01	-3.088077922468374960e-05	-1.152829830760350518e+02
1.224260000000000126e+01	-3.131614440484890112e-05	-1.150617602851612986e+02
1.225665000000000049e+01	-3.173330334728230028e-05	-1.148409519190744561e+02
1.227070000000000149e+01	-3.213217852100292896e-05	-1.146216358393066201e+02
1.228475000000000072e+01	-3.251270848981637141e-05	-1.144049410346623574e+02
1.229879999999999995e+01	-3.287484747451341457e-05	-1.141920348990423548e+02
1.231285000000000096e+01	-3.321856488228085006e-05	-1.139841077589997269e+02
1.232690000000000019e+01	-3.354384486600595940e-05	-1.137823547094046148e+02
1.234095000000000120e+01	-3.385068589033068633e-05	-1.135879550045586228e+02
1.235500000000000043e+01	-3.413910030252695810e-05	-1.134020494744745804e+02
1.236905000000000143e+01	-3.440911390530011787e-05	-1.132257166743599299e+02
1.238310000000000066e+01	-3.466076554694979032e-05	-1.130599487037498818e+02
1.239714999999999989e+01	-3.489410671731625998e-05	-1.129056278184514497e+02
1.241120000000000090e+01	-3.510920113697605803e-05	-1.127635050699035304e+02
1.242525000000000013e+01	-3.530612438404602202e-05	-1.126341822137878665e+02
1.243930000000000113e+01	-3.548496348819965205e-05	-1.125180980149379764e+02
1.245335000000000036e+01	-3.564581656904230463e-05	-1.124155198378669098e+02
1.246740000000000137e+01	-3.578879245230638835e-05	-1.123265410702694709e+02
1.248145000000000060e+01	-3.591401031208315289e-05	-1.122510845175648058e+02
1.249550000000000161e+01	-3.602159931498276558e-05	-1.121889114789750010e+02
1.250955000000000084e+01	-3.611169826525842652e-05	-1.121396358226770360e+02
1.252360000000000184e+01	-3.618445525475182925e-05	-1.121027420654932740e+02
1.253765000000000107e+01	-3.624002734176829982e-05	-1.120776062633216270e+02
1.255170000000000030e+01	-3.627858019330705439e-05	-1.120635184449510859e+02
1.256575000000000131e+01	-3.630028778804411573e-05	-1.120597053676782338e+02
1.257980000000000054e+01	-3.630533207592008521e-05	-1.120653525163349826e+02
1.259385000000000154e+01	-3.629390267147931812e-05	-1.120796244768841063e+02
1.260790000000000077e+01	-3.626619654913759651e-05	-1.121016830577082715e+02
1.262195000000000178e+01	-3.622241773941392204e-05	-1.121307027755215557e+02
1.263600000000000101e+01	-3.616277703384118464e-05	-1.121658835446045259e+02
1.265005000000000024e+01	-3.608749169084101202e-05	-1.122064605924584555e+02
1.266410000000000124e+01	-3.599678515606350945e-05	-1.122517117648647229e+02
1.267815000000000047e+01	-3.589088678561982689e-05	-1.123009624784055802e+02
1.269220000000000148e+01	-3.577003156545740603e-05	-1.123535886329993474e+02
1.270625000000000071e+01	-3.563445985484335702e-05	-1.124090178181006792e+02
1.272030000000000172e+01	-3.548441710670391348e-05	-1.124667291419034996e+02
1.273435000000000095e+01	-3.532015363039434970e-05	-1.125262519909830559e+02
1.274840000000000018e+01	-3.514192432746768291e-05	-1.125871639951689929e+02
1.276245000000000118e+01	-3.494998844576555883e-05	-1.126490884344909205e+02
1.277650000000000041e+01	-3.474460933929520568e-05	-1.127116912859136875e+02
1.279055000000000142e+01	-3.452605423485669196e-05	-1.127746780700150708e+02
1.280460000000000065e+01	-3.429459399577719400e-05	-1.128377906235421904e+02
1.281865000000000165e+01	-3.405050289046699513e-05	-1.129008038937706431e+02
1.283270000000000088e+01	-3.379405838604809386e-05	-1.129635228251144810e+02
1.284675000000000011e+01	-3.352554091208866788e-05	-1.130257793874008883e+02
1.286080000000000112e+01	-3.324523366001775075e-05	-1.130874297782766433e+02
1.287485000000000035e+01	-3.295342236711080357e-05	-1.131483518188808404e+02
1.288890000000000136e+01	-3.265039511976188132e-05	-1.132084425517139294e+02
1.290295000000000059e+01	-3.233644214711266110e-05	-1.132676160419952112e+02
1.291700000000000159e+01	-3.201185563300380950e-05	-1.133258013782755711e+02
1.293105000000000082e+01	-3.167692951442581026e-05	-1.133829408642647536e+02
1.294510000000000005e+01	-3.133195931372153415e-05	-1.134389883912781585e+02
1.295915000000000106e+01	-3.097724193028697298e-05	-1.134939079792414987e+02
1.297320000000000029e+01	-3.061307548723895703e-05	-1.135476724734307510e+02
1.298725000000000129e+01	-3.023975913950982557e-05	-1.136002623839471681e+02
1.300130000000000052e+01	-2.985759291665804755e-05	-1.136516648551398134e+02
1.301535000000000153e+01	-2.946687754253510030e-05	-1.137018727526771897e+02
1.302940000000000076e+01	-2.906791428966835943e-05	-1.137508838566395184e+02
1.304344999999999999e+01	-2.866100480278555864e-05	-1.137987001497685213e+02
1.305750000000000099e+01	-2.824645095994827136e-05	-1.138453271908355049e+02
1.307155000000000022e+01	-2.782455471150598031e-05	-1.138907735639373442e+02
1.308560000000000123e+01	-2.739561794315848017e-05	-1.139350503953373419e+02
1.309965000000000046e+01	-2.695994230815992464e-05	-1.139781709302783383e+02
1.311370000000000147e+01	-2.651782912124011658e-05	-1.140201501629319409e+02
1.312775000000000070e+01	-2.606957919177319352e-05	-1.140610045133583981e+02
1.314179999999999993e+01	-2.561549271094889864e-05	-1.141007515459885724e+02
1.315585000000000093e+01	-2.515586911097847294e-05	-1.141394097247340937e+02
1.316990000000000016e+01	-2.469100694165862072e-05	-1.141769982003708606e+02
1.318395000000000117e+01	-2.422120374886428098e-05	-1.142135366263268423e+02
1.319800000000000040e+01	-2.374675594436260768e-05	-1.142490449994421624e+02
1.321205000000000140e+01	-2.326795871227161126e-05	-1.142835435226596132e+02
1.322610000000000063e+01	-2.278510586633812927e-05	-1.143170524869640019e+02
1.324014999999999986e+01	-2.229848975928977659e-05	-1.143495921701889131e+02
1.325420000000000087e+01	-2.180840116807876249e-05	-1.143811827506002317e+02
1.326825000000000188e+01	-2.131512919166217136e-05	-1.144118442334030874e+02
1.328230000000000111e+01	-2.081896114878237230e-05	-1.144415963885474099e+02
1.329635000000000034e+01	-2.032018247767621068e-05	-1.144704586983933154e+02
1.331040000000000134e+01	-1.981907663964169964e-05	-1.144984503139734784e+02
1.332445000000000057e+01	-1.931592503514107702e-05	-1.145255900187427187e+02
1.333849999999999980e+01	-1.881100689290282022e-05	-1.145518961988341999e+02
1.335255000000000081e+01	-1.830459921399053266e-05	-1.145773868189629354e+02
1.336660000000000181e+01	-1.779697665222622178e-05	-1.146020794032231720e+02
1.338065000000000104e+01	-1.728841145922379002e-05	-1.146259910201132328e+02
1.339470000000000027e+01	-1.677917339277810167e-05	-1.146491382712048619e+02
1.340875000000000128e+01	-1.626952964068345626e-05	-1.146715372829481510e+02
1.342280000000000051e+01	-1.575974474262351022e-05	-1.146932037011588932e+02
1.343684999999999974e+01	-1.525008053134788120e-05	-1.147141526877964850e+02
1.345090000000000074e+01	-1.474079605456229165e-05	-1.147343989196865266e+02
1.346495000000000175e+01	-1.423214750067612246e-05	-1.147539565888863251e+02
1.347900000000000098e+01	-1.372438814769395433e-05	-1.147728394044243174e+02
1.349305000000000021e+01	-1.321776829378497504e-05	-1.147910605951836516e+02
1.350710000000000122e+01	-1.271253519942439161e-05	-1.148086329137276778e+02
1.352115000000000045e+01	-1.220893302567764749e-05	-1.148255686408859475e+02
1.353519999999999968e+01	-1.170720278502096973e-05	-1.148418795909458368e+02
1.354925000000000068e+01	-1.120758228637603220e-05	-1.148575771173152873e+02
1.356330000000000169e+01	-1.071030607821603999e-05	-1.148726721185366415e+02
1.357735000000000092e+01	-1.021560540131515520e-05	-1.148871750445468081e+02
1.359140000000000015e+01	-9.723708145355331139e-06	-1.149010959030934629e+02
1.360545000000000115e+01	-9.234838811319147134e-06	-1.149144442662297507e+02
1.361950000000000038e+01	-8.749218453631818753e-06	-1.149272292768151829e+02
1.363355000000000139e+01	-8.267064636768184398e-06	-1.149394596549660008e+02
1.364760000000000062e+01	-7.788591420789607567e-06	-1.149511437043992004e+02
1.366165000000000163e+01	-7.314009293842842167e-06	-1.149622893186259205e+02
1.367570000000000086e+01	-6.843525164447303710e-06	-1.149729039869541793e+02
1.368975000000000009e+01	-6.377342305565977628e-06	-1.149829948002650895e+02
1.370380000000000109e+01	-5.915660336285135928e-06	-1.149925684565320694e+02
1.371785000000000032e+01	-5.458675187100531612e-06	-1.150016312660548721e+02
1.373190000000000133e+01	-5.006579077739861967e-06	-1.150101891563874119e+02
1.374595000000000056e+01	-4.559560481484676108e-06	-1.150182476769337967e+02
1.376000000000000156e+01	-4.117804107814525897e-06	-1.150258120031968048e+02
1.377405000000000079e+01	-3.681490877336507633e-06	-1.150328869406607879e+02
1.378810000000000002e+01	-3.250797897679146531e-06	-1.150394769282924585e+02
1.380215000000000103e+01	-2.825898454815529697e-06	-1.150455860416457909e+02
1.381620000000000026e+01	-2.406961977385267456e-06	-1.150512179955565983e+02
1.383025000000000126e+01	-1.994154032839273293e-06	-1.150563761464171364e+02
1.384430000000000049e+01	-1.587636314905582899e-06	-1.150610634940125721e+02
1.385835000000000150e+01	-1.187566618518918959e-06	-1.150652826829124535e+02
1.387240000000000073e+01	-7.940988340367895551e-07	-1.150690360034028288e+02
1.388644999999999996e+01	-4.073829347052891184e-07	-1.150723253919465350e+02
1.390050000000000097e+01	-2.756498148277350852e-08	-1.150751524311595233e+02
1.391455000000000020e+01	0.000000000000000000e+00	-1.150775183492906706e+02
1.392860000000000120e+01	0.000000000000000000e+00	-1.150794240191912223e+02
1.394265000000000043e+01	0.000000000000000000e+00	-1.150808699567593152e+02
1.395670000000000144e+01	-9.643274665532871356e-16	-1.150818563188447854e+02
1.397075000000000067e+01	0.000000000000000000e+00	-1.150823829005976648e+02
1.398479999999999990e+01	0.000000000000000000e+00	-1.150824491322446477e+02
1.399885000000000090e+01	-9.643274665532871356e-16	-1.150820540752727084e+02
1.401290000000000013e+01	-9.643274665532871356e-16	-1.150811964180010705e+02
1.402695000000000114e+01	0.000000000000000000e+00	-1.150798744705213323e+02
1.404100000000000037e+01	0.000000000000000000e+00	-1.150780861589799429e+02
1.405505000000000138e+01	0.000000000000000000e+00	-1.150758290191809010e+02
1.406910000000000061e+01	0.000000000000000000e+00	-1.150731001894800727e+02
1.408314999999999984e+01	0.000000000000000000e+00	-1.150698964029426747e+02
