Frequency	S11(dB)	S21(dB)
1.095000000000000107e+01	-4.886024401014960674e-05	-1.260953712566435172e+02
1.097905000000000086e+01	-7.093439205981614992e-06	-1.261026695552642991e+02
1.100810000000000066e+01	0.000000000000000000e+00	-1.261097102842589379e+02
1.103715000000000046e+01	0.000000000000000000e+00	-1.261164888018480355e+02
1.106620000000000026e+01	0.000000000000000000e+00	-1.261230004413013148e+02
1.109525000000000183e+01	-9.643274665532871356e-16	-1.261292405124986544e+02
1.112430000000000163e+01	-1.928654933106574271e-15	-1.261352043035503954e+02
1.115335000000000143e+01	0.000000000000000000e+00	-1.261408870824878647e+02
1.118240000000000123e+01	0.000000000000000000e+00	-1.261462840989931777e+02
1.121145000000000103e+01	0.000000000000000000e+00	-1.261513905862247782e+02
1.124050000000000082e+01	-9.643274665532871356e-16	-1.261562017626359022e+02
1.126955000000000062e+01	0.000000000000000000e+00	-1.261607128339478976e+02
1.129860000000000042e+01	0.000000000000000000e+00	-1.261649189950804129e+02
1.132765000000000022e+01	-9.643274665532871356e-16	-1.261688154322119146e+02
1.135670000000000179e+01	0.000000000000000000e+00	-1.261723973248657416e+02
1.138575000000000159e+01	1.928654933106573877e-15	-1.261756598480552327e+02
1.141480000000000139e+01	-9.643274665532871356e-16	-1.261785981744730236e+02
1.144385000000000119e+01	-9.643274665532871356e-16	-1.261812074767683924e+02
1.147290000000000099e+01	-9.643274665532871356e-16	-1.261834829298230432e+02
1.150195000000000078e+01	0.000000000000000000e+00	-1.261854197131388702e+02
1.153100000000000058e+01	0.000000000000000000e+00	-1.261870130131882490e+02
1.156005000000000038e+01	0.000000000000000000e+00	-1.261882580259135977e+02
1.158910000000000018e+01	0.000000000000000000e+00	-1.261891499592117327e+02
1.161815000000000175e+01	0.000000000000000000e+00	-1.261896840354332596e+02
1.164720000000000155e+01	0.000000000000000000e+00	-1.261898554940017192e+02
1.167625000000000135e+01	-9.643274665532871356e-16	-1.261896595939584387e+02
