Frequency	S11(dB)	S21(dB)
1.095000000000000107e+01	-9.803874623288995338e-02	-1.651071196870185531e+01
1.095355000000000167e+01	-9.817521724841909991e-02	-1.650474693680026661e+01
1.095710000000000051e+01	-9.831176949244409269e-02	-1.649878772972274632e+01
1.096065000000000111e+01	-9.844840257999309951e-02	-1.649283433484814054e+01
1.096420000000000172e+01	-9.858511612974429905e-02	-1.648688673959057738e+01
1.096775000000000055e+01	-9.872190976400277429e-02	-1.648094493139935679e+01
1.097130000000000116e+01	-9.885878310867056429e-02	-1.647500889775884403e+01
1.097485000000000177e+01	-9.899573579323606154e-02	-1.646907862618838436e+01
1.097840000000000060e+01	-9.913276745074031671e-02	-1.646315410424215742e+01
1.098195000000000121e+01	-9.926987771775758196e-02	-1.645723531950910967e+01
1.098550000000000182e+01	-9.940706623437614575e-02	-1.645132225961285144e+01
1.098905000000000065e+01	-9.954433264417812677e-02	-1.644541491221150764e+01
1.099260000000000126e+01	-9.968167659420548721e-02	-1.643951326499766452e+01
1.099615000000000187e+01	-9.981909773495645233e-02	-1.643361730569822754e+01
1.099970000000000070e+01	-9.995659572033104012e-02	-1.642772702207436097e+01
1.100325000000000131e+01	-1.000941702076587475e-01	-1.642184240192131739e+01
1.100680000000000192e+01	-1.002318208576225556e-01	-1.641596343306839856e+01
1.101035000000000075e+01	-1.003695473342846312e-01	-1.641009010337883467e+01
1.101390000000000136e+01	-1.005073493050279709e-01	-1.640422240074964222e+01
1.101745000000000019e+01	-1.006452264405576502e-01	-1.639836031311157427e+01
1.102100000000000080e+01	-1.007831784148669058e-01	-1.639250382842898901e+01
1.102455000000000140e+01	-1.009212049052295723e-01	-1.638665293469974671e+01
1.102810000000000024e+01	-1.010593055921602673e-01	-1.638080761995511736e+01
1.103165000000000084e+01	-1.011974801594078682e-01	-1.637496787225966344e+01
1.103520000000000145e+01	-1.013357282939293530e-01	-1.636913367971116173e+01
1.103875000000000028e+01	-1.014740496858695107e-01	-1.636330503044047546e+01
1.104230000000000089e+01	-1.016124440285388064e-01	-1.635748191261145834e+01
