Frequency	S11(dB)	S21(dB)
1.095000000000000107e+01	-3.720924226823625684e-05	-1.227390385345804589e+02
1.097905000000000086e+01	0.000000000000000000e+00	-1.226758188405587049e+02
1.100810000000000066e+01	0.000000000000000000e+00	-1.226114926951730553e+02
1.103715000000000046e+01	0.000000000000000000e+00	-1.225460770908866266e+02
1.106620000000000026e+01	0.000000000000000000e+00	-1.224795893759435330e+02
1.109525000000000183e+01	0.000000000000000000e+00	-1.224120472164787827e+02
1.112430000000000163e+01	-9.643274665532871356e-16	-1.223434685587628792e+02
1.115335000000000143e+01	0.000000000000000000e+00	-1.222738715922103125e+02
1.118240000000000123e+01	0.000000000000000000e+00	-1.222032747130134567e+02
1.121145000000000103e+01	0.000000000000000000e+00	-1.221316964876633193e+02
1.124050000000000082e+01	-1.928654933106574271e-15	-1.220591556186099069e+02
1.126955000000000062e+01	0.000000000000000000e+00	-1.219856709098292242e+02
1.129860000000000042e+01	0.000000000000000000e+00	-1.219112612334270551e+02
1.132765000000000022e+01	-9.643274665532871356e-16	-1.218359454978345724e+02
1.135670000000000179e+01	-9.643274665532871356e-16	-1.217597426164351191e+02
1.138575000000000159e+01	0.000000000000000000e+00	-1.216826714780374488e+02
1.141480000000000139e+01	0.000000000000000000e+00	-1.216047509181322397e+02
1.144385000000000119e+01	0.000000000000000000e+00	-1.215259996905943609e+02
1.147290000000000099e+01	0.000000000000000000e+00	-1.214464364435462329e+02
1.150195000000000078e+01	0.000000000000000000e+00	-1.213660796922157772e+02
1.153100000000000058e+01	0.000000000000000000e+00	-1.212849477969422338e+02
1.156005000000000038e+01	-9.643274665532871356e-16	-1.212030589400943370e+02
1.158910000000000018e+01	0.000000000000000000e+00	-1.211204311062439132e+02
1.161815000000000175e+01	-9.643274665532871356e-16	-1.210370820611272933e+02
1.164720000000000155e+01	-9.643274665532871356e-16	-1.209530293348218777e+02
1.167625000000000135e+01	0.000000000000000000e+00	-1.208682902034431095e+02
1.170530000000000115e+01	0.000000000000000000e+00	-1.207828816746906853e+02
