Frequency	S11(dB)	S21(dB)
1.095000000000000107e+01	0.000000000000000000e+00	-1.433402522479293850e+02
1.096405000000000030e+01	-3.235614609892591907e-05	-1.440941789247557949e+02
1.097810000000000130e+01	-6.605598458667354762e-05	-1.449358099170829348e+02
1.099215000000000053e+01	-9.806880807371128094e-05	-1.458830066540112966e+02
1.100620000000000154e+01	-1.284406083415537371e-04	-1.469579618311226170e+02
1.102025000000000077e+01	-1.572164977045569911e-04	-1.481868202348525472e+02
1.103430000000000177e+01	-1.844407241008472512e-04	-1.495949755198847129e+02
1.104835000000000100e+01	-2.101566859539049498e-04	-1.511868448762760124e+02
1.106240000000000023e+01	-2.344069467447997901e-04	-1.528757751330408041e+02
1.107645000000000124e+01	-2.572332493604445060e-04	-1.543030146106501945e+02
1.109050000000000047e+01	-2.786765301771665457e-04	-1.547187164679093598e+02
1.110455000000000148e+01	-2.987769329228017281e-04	-1.537169832640121854e+02
1.111860000000000070e+01	-3.175738222775884977e-04	-1.518989003126017394e+02
1.113265000000000171e+01	-3.351057972725115033e-04	-1.499426954204429023e+02
1.114670000000000094e+01	-3.514107044347790886e-04	-1.481195331925511880e+02
1.116075000000000017e+01	-3.665256507265616972e-04	-1.464826903936386486e+02
1.117480000000000118e+01	-3.804870162382601850e-04	-1.450189893083490915e+02
1.118885000000000041e+01	-3.933304667094457787e-04	-1.437017615289018977e+02
1.120290000000000141e+01	-4.050909657895714576e-04	-1.425054766298077595e+02
1.121695000000000064e+01	-4.158027871337883260e-04	-1.414088452628970458e+02
1.123100000000000165e+01	-4.254995262440482021e-04	-1.403947874418358879e+02
1.124505000000000088e+01	-4.342141121778413842e-04	-1.394497026632485301e+02
1.125910000000000188e+01	-4.419788189952203721e-04	-1.385627141908803139e+02
1.127315000000000111e+01	-4.488252770462170492e-04	-1.377250442623699769e+02
1.128720000000000034e+01	-4.547844840570730855e-04	-1.369295313798236293e+02
1.130125000000000135e+01	-4.598868160441061574e-04	-1.361702654616168786e+02
1.131530000000000058e+01	-4.641620380242500411e-04	-1.354423131496829456e+02
1.132935000000000159e+01	-4.676393145568864514e-04	-1.347415101260896790e+02
1.134340000000000082e+01	-4.703472201159089811e-04	-1.340643028251068642e+02
1.135745000000000182e+01	-4.723137492697483805e-04	-1.334076265904030265e+02
1.137150000000000105e+01	-4.735663267145970258e-04	-1.327688108629508577e+02
1.138555000000000028e+01	-4.741318171086730728e-04	-1.321455045597230651e+02
1.139960000000000129e+01	-4.740365347778432645e-04	-1.315356166491837939e+02
1.141365000000000052e+01	-4.733062532404517186e-04	-1.309372682480429830e+02
1.142770000000000152e+01	-4.719662145676758428e-04	-1.303487535070706826e+02
1.144175000000000075e+01	-4.700411386034473310e-04	-1.297685072315866535e+02
1.145580000000000176e+01	-4.675552320255495762e-04	-1.291950776716102496e+02
1.146985000000000099e+01	-4.645321972555397326e-04	-1.286271032713588909e+02
1.148390000000000022e+01	-4.609952412183999774e-04	-1.280632924251570444e+02
1.149795000000000122e+01	-4.569670839634304644e-04	-1.275024054727921197e+02
1.151200000000000045e+01	-4.524699671443985780e-04	-1.269432382998386402e+02
1.152605000000000146e+01	-4.475256623424964369e-04	-1.263846069996964303e+02
1.154010000000000069e+01	-4.421554792841307863e-04	-1.258253331121413794e+02
1.155415000000000170e+01	-4.363802738840616901e-04	-1.252642289830018143e+02
1.156820000000000093e+01	-4.302204561977415135e-04	-1.247000827935290346e+02
1.158225000000000016e+01	-4.236959982046965010e-04	-1.241316427861538330e+02
1.159630000000000116e+01	-4.168264414933062385e-04	-1.235576001633281464e+02
1.161035000000000039e+01	-4.096309048054714522e-04	-1.229765700529951857e+02
1.162440000000000140e+01	-4.021280914604189599e-04	-1.223870698094289224e+02
1.163845000000000063e+01	-3.943362966547118769e-04	-1.217874937384881804e+02
1.165250000000000163e+01	-3.862734146586818142e-04	-1.211760830815932621e+02
1.166655000000000086e+01	-3.779569458571728968e-04	-1.205508897325605915e+02
1.168060000000000187e+01	-3.694040037338940964e-04	-1.199097316494945034e+02
1.169465000000000110e+01	-3.606313216845895937e-04	-1.192501371889756143e+02
1.170870000000000033e+01	-3.516552597563978489e-04	-1.185692745200784657e+02
1.172275000000000134e+01	-3.424918112603318049e-04	-1.178638606929268065e+02
1.173680000000000057e+01	-3.331566092867478787e-04	-1.171300425488673937e+02
1.175085000000000157e+01	-3.236649331006327679e-04	-1.163632379780063957e+02
1.176490000000000080e+01	-3.140317144600815263e-04	-1.155579202110232018e+02
1.177895000000000181e+01	-3.042715437904362926e-04	-1.147073183720523559e+02
1.179300000000000104e+01	-2.943986762998933890e-04	-1.138029916376626574e+02
